date,amount
2016-08-22,0.23
2016-11-14,0.02
2017-02-10,0.08
2017-05-18,0.08
2017-08-22,0.02
2017-11-27,0.02
2018-02-16,0.02
2018-05-18,0.02
2018-08-23,0.02
2018-11-15,0.02
2019-02-15,0.05
2019-05-20,0.08
2019-08-21,0.02
2019-11-06,0.05
2020-02-14,0.32
2020-05-18,0.35
2020-08-25,0.48
2020-11-17,0.2
2021-02-17,0.05
2021-05-18,0.04
2021-08-18,0.02
2021-11-15,0.02
2022-02-16,0.02
2022-05-18,0.02
2022-08-22,0.04
2022-11-21,0.04
2023-02-16,0.38
2023-05-17,0.23
2023-08-22,0.35
2023-11-20,0.19
2024-02-20,0.22
2024-05-23,0.29
2024-08-23,0.27
2024-11-22,0.22
2025-02-18,0.17
2025-05-21,0.15
2026-02-19,0.41
2026-05-21,0.64
