date,amount
2016-08-15,0.248016
2016-10-25,0.257937
2017-02-08,0.198413
2017-05-18,0.198413
2017-08-10,0.1
2017-11-10,0.03
2018-02-20,0.03
2018-05-23,0.01
2018-08-21,0.02
2018-11-20,0.01
2019-02-28,0.04
2019-05-24,0.03
2019-08-29,0.01
2019-12-04,0.02
2020-02-28,0.07
2020-05-22,0.14
2020-08-27,0.2
2020-12-01,0.04
2021-03-11,0.02
2021-06-03,0.02
2021-09-23,0.01
2021-12-06,0.01
2021-12-07,0.01
2022-03-10,0.01
2022-06-13,0.02
2022-09-14,0.03
2022-12-05,0.05
2023-03-13,0.15
2023-06-14,0.15
2023-09-13,0.13
2023-12-19,0.06
2024-03-19,0.12
2024-06-28,0.12
2024-09-26,0.12
2024-12-17,0.04
2025-03-10,0.06
2025-06-12,0.07
2026-03-10,0.17
2026-06-10,0.22
