date,amount
2016-09-13,1.25
2016-11-22,1.25
2017-02-21,0.1
2017-05-09,0.1
2017-09-22,0.1
2017-12-12,0.1
2018-03-09,0.1
2018-06-05,0.1
2018-09-19,0.1
2018-12-04,0.1
2019-03-12,0.1
2019-06-04,0.1
2019-09-09,0.1
2019-11-22,0.1
2020-02-28,0.1
2020-05-29,0.1
2020-09-08,0.1
2020-11-20,0.1
2021-03-01,0.1
2021-05-20,0.1
2021-09-08,0.1
2021-12-02,0.1
2022-03-01,0.1
2022-05-19,0.1
2022-08-10,0.1
2022-11-16,0.1
2023-03-06,0.2
2023-06-12,0.25
2023-08-14,0.25
2023-11-29,0.35
2024-03-07,0.4
2024-06-14,0.4
2024-08-15,0.4
2024-11-22,0.4
2025-03-07,0.4
2025-05-30,0.4
2025-08-13,0.4
2026-03-06,0.45
2026-05-29,0.45
