period_end,filed,equity,shares,bvps
2017-12-31,2020-04-17,520167000,54110584,9.613
2018-12-31,2020-04-17,827324000,54110584,15.2895
2019-06-30,2020-09-16,820156000,54110584,15.157
2019-12-31,2020-04-17,839265000,54110584,15.5102
2020-06-30,2020-09-16,812458000,54110584,15.0148
2020-12-31,2021-03-17,835175000,53907787,15.4927
2021-06-30,2021-09-03,852025000,53907787,15.8052
2021-12-31,2022-03-17,889387000,53130584,16.7396
2022-06-30,2022-08-25,909873000,53130584,17.1252
2022-12-31,2023-03-10,907090000,53682140,16.8974
2023-06-30,2023-08-18,869726000,53682140,16.2014
2023-12-31,2024-03-05,847653000,53736318,15.7743
2024-06-30,2024-08-15,823612000,53736318,15.3269
2024-12-31,2025-02-28,806633000,54087768,14.9134
2025-06-30,2025-08-20,762024000,54087768,14.0887
2025-12-31,2026-02-27,719257000,54092376,13.2968
