period_end,filed,equity,shares,bvps
2010-12-31,2012-04-30,410588000,80236252,5.1172
2011-12-31,2012-04-30,677765000,80236252,8.4471
2012-12-31,2013-05-01,1764319000,80503364,21.9161
2013-12-31,2014-04-30,1804137000,80579295,22.3896
2014-06-30,2014-09-04,2442168000,93279771,26.1811
2014-12-31,2015-04-30,2280852000,93414672,24.4164
2015-06-30,2015-09-22,2198750000,93414672,23.5375
2015-12-31,2016-05-02,1873526000,93546663,20.0277
2016-06-30,2016-11-10,1710890000,93546663,18.2892
2016-09-30,2017-01-20,1684383000,93546663,18.0058
2016-12-31,2017-05-01,1863262000,101080673,18.4334
2017-06-30,2017-09-29,1760151000,101080673,17.4133
2017-09-30,2017-12-15,1714533000,101080673,16.962
2017-12-31,2018-04-16,1715316000,101118289,16.9635
2018-06-30,2018-08-31,1703561000,101118289,16.8472
2018-09-30,2018-11-16,2063226000,101118289,20.4041
2018-12-31,2019-03-29,1745125000,101302404,17.2269
2019-06-30,2019-09-05,1577063000,101302404,15.5679
2019-09-30,2019-11-26,1490084000,101302404,14.7093
2019-12-31,2020-04-30,1498261000,101302404,14.79
2020-06-30,2020-08-14,1203507000,101302404,11.8803
2020-09-30,2020-11-30,1182046000,101302404,11.6685
2020-12-31,2021-04-22,1292523000,109943594,11.7562
2021-06-30,2021-08-11,1811052000,109943594,16.4726
2021-09-30,2021-11-18,1717175000,109943594,15.6187
2021-12-31,2022-04-28,1730650000,108222604,15.9916
2022-06-30,2022-08-31,2294909000,108222604,21.2054
2022-09-30,2022-11-25,2427996000,108222604,22.4352
2022-12-31,2023-03-31,2500224000,107225832,23.3174
2023-06-30,2023-08-11,2091629000,107225832,19.5068
2023-09-30,2023-11-21,2155210000,107225832,20.0997
2023-12-31,2024-03-28,2067669000,104578080,19.7715
2024-06-30,2024-08-16,2086096000,104578080,19.9477
2024-09-30,2024-11-27,2030081000,104578080,19.4121
2024-12-31,2025-03-27,2014151000,104534703,19.2678
2025-06-30,2025-08-15,1886010000,104534703,18.042
2025-09-30,2025-11-13,1896926000,104534703,18.1464
2025-12-31,2026-03-26,1842976000,101319440,18.1898
