period_end,filed,equity,shares,bvps
2009-12-31,2010-08-09,928925000,35526548,26.1473
2010-06-30,2010-08-09,972578000,35526548,27.3761
2010-09-30,2010-11-09,1095006000,35526548,30.8222
2010-12-31,2011-03-10,1132949000,35526548,31.8902
2011-03-31,2011-05-10,1155515000,35951198,32.1412
2011-06-30,2011-07-26,1155093000,35951198,32.1295
2011-09-30,2011-11-09,1145931000,35966198,31.8613
2011-12-31,2012-02-22,1151606000,35965098,32.0201
2012-03-31,2012-05-10,1180079000,36307598,32.5023
2012-06-30,2012-08-09,1150580000,43807598,26.2644
2012-09-30,2012-11-09,1111159000,43822598,25.3558
2012-12-31,2013-03-01,1066296000,43823598,24.3315
2013-03-31,2013-05-10,1030852000,44270273,23.2854
2013-06-30,2013-08-09,976321000,44263523,22.057
2013-09-30,2013-11-08,951050000,44461157,21.3906
2013-12-31,2014-04-07,967469000,44449407,21.7656
2014-03-31,2014-05-19,915896000,44449407,20.6054
2014-06-30,2014-08-15,843082000,44449407,18.9672
2014-09-30,2014-11-17,1208422000,61410362,19.6778
2014-12-31,2015-03-02,1022378000,61541389,16.6129
2015-03-31,2015-05-08,1019248000,61541389,16.562
2015-06-30,2015-08-10,987776000,61600604,16.0352
2015-09-30,2015-11-13,1150055000,72897616,15.7763
2015-12-31,2016-03-15,1105966000,72898234,15.1714
2016-12-31,2018-05-09,1029699000,7354449,140.0104
2017-03-31,2018-05-09,1014810000,34416305,29.4863
2017-06-30,2018-08-08,1001868000,34416305,29.1103
2017-09-30,2018-11-07,971940000,34434538,28.2257
2017-12-31,2018-05-09,975027000,34532004,28.2355
2018-03-31,2018-05-09,919048000,34532004,26.6144
2018-06-30,2018-08-08,1028243000,34532004,29.7765
2018-09-30,2018-11-07,1034583000,41547004,24.9015
2018-12-31,2019-03-05,1053307000,41644470,25.2928
2019-03-31,2019-05-09,1045958000,41645078,25.116
2019-06-30,2019-08-09,1012051000,41656947,24.2949
2019-09-30,2019-11-07,998035000,41656947,23.9584
2019-12-31,2020-02-27,978428000,41754413,23.4329
2020-03-31,2020-05-06,851196000,41754413,20.3858
2020-06-30,2020-08-05,832626000,41801753,19.9184
2020-09-30,2020-11-04,811220000,41801753,19.4064
2020-12-31,2021-02-24,744994000,41801753,17.8221
2021-03-31,2021-05-05,746817000,41801753,17.8657
2021-06-30,2021-08-04,777272000,41912432,18.5451
2021-09-30,2021-11-03,830683000,41916874,19.8174
2021-12-31,2022-02-24,916587000,41924597,21.8628
2022-03-31,2022-05-04,933805000,41957724,22.2559
2022-06-30,2022-08-03,949952000,42102336,22.5629
2022-09-30,2022-11-09,971789000,42281407,22.9838
2022-12-31,2023-02-22,967433000,42327181,22.8561
2023-03-31,2023-05-03,948482000,42327181,22.4083
2023-06-30,2023-08-08,953864000,42507748,22.4398
2023-09-30,2023-11-08,915168000,42528689,21.5188
2023-12-31,2024-02-27,913256000,42538665,21.4688
2024-03-31,2024-05-08,915095000,42730455,21.4155
2024-06-30,2024-08-07,921754000,42751752,21.5606
2024-09-30,2024-11-06,929943000,42757895,21.749
2024-12-31,2025-02-21,926743000,42757895,21.6742
2025-03-31,2025-05-07,903205000,42757895,21.1237
2025-06-30,2025-08-06,891604000,42959464,20.7545
2025-09-30,2025-11-05,885890000,42959464,20.6215
2025-12-31,2026-02-18,896484000,43243165,20.7312
2026-03-31,2026-05-06,885376000,43317810,20.4391
