period_end,filed,equity,shares,bvps
2021-03-17,2024-03-27,10000,43900000,0.0002
2021-12-31,2024-03-27,91879000,43900000,2.0929
2022-12-31,2024-03-27,90327000,43900000,2.0576
2023-03-31,2024-08-16,90445000,43900000,2.0603
2023-06-30,2024-08-16,134414000,43900000,3.0618
2023-12-31,2024-03-27,154205000,43900000,3.5126
2024-03-31,2024-08-16,155067000,43900000,3.5323
2024-06-30,2024-08-16,157245000,43900000,3.5819
2024-12-31,2025-03-26,154719000,43900000,3.5244
2025-03-31,2025-08-08,162500000,43900000,3.7016
2025-06-30,2025-08-08,159300000,43900000,3.6287
2025-12-31,2026-03-12,161700000,46650000,3.4662
