period_end,filed,equity,shares,bvps
2013-12-31,2017-03-31,968842000,29157387,33.228
2014-07-31,2017-03-31,1354939000,29157387,46.4698
2014-12-31,2016-12-05,1390943000,29157387,47.7047
2015-09-30,2016-12-05,1333275000,29157387,45.7268
2015-12-31,2016-12-05,1383786000,29157387,47.4592
2016-03-31,2017-05-10,1361593000,29157387,46.698
2016-06-30,2017-08-09,1363944000,29157387,46.7787
2016-09-30,2016-12-05,1224769000,29157387,42.0054
2016-12-31,2017-03-31,1179512000,29157387,40.4533
2017-03-31,2017-05-10,1201213000,29202714,41.1336
2017-06-30,2017-08-09,1191031000,29209298,40.7757
2017-09-30,2017-11-09,1169086000,29248236,39.9712
2017-12-31,2018-03-12,1085654000,29089865,37.3207
2018-03-31,2018-05-07,1063642000,29107398,36.542
2018-06-30,2018-08-08,1050541000,29135725,36.0568
2018-09-30,2018-11-07,1008048000,29177612,34.5487
2018-12-31,2019-03-12,1009855000,29183431,34.6037
2019-03-31,2019-05-09,1017987000,29199074,34.8637
2019-06-30,2019-08-08,995338000,29222068,34.0612
2019-09-30,2019-11-07,982122000,29274452,33.5488
2019-12-31,2020-03-03,1022293000,29274452,34.921
2020-03-31,2020-05-07,1029680000,29281953,35.1643
2020-06-30,2020-08-07,1072053000,28843761,37.1676
2020-09-30,2020-11-06,1086518000,27983771,38.8267
2020-12-31,2021-03-12,972042000,27984807,34.7346
2021-03-31,2021-05-06,967763000,28014877,34.5446
2021-06-30,2021-08-09,947454000,28087011,33.7328
2021-09-30,2021-11-09,1214779000,50674393,23.9722
2021-12-31,2022-03-02,1169748000,50689089,23.0769
2022-03-31,2022-05-04,1164866000,49599637,23.4854
2022-06-30,2022-08-09,1230564000,49660837,24.7794
2022-09-30,2022-11-08,1328832000,49695732,26.7394
2022-12-31,2023-02-28,1487752000,49078418,30.3138
2023-03-31,2024-05-08,1557283000,49121352,31.7028
2023-06-30,2024-08-07,1620274000,49229944,32.9124
2023-09-30,2024-11-07,1650077000,48889609,33.7511
2023-12-31,2024-05-08,1716757000,48909009,35.101
2024-03-31,2024-05-08,1794890000,48930872,36.6822
2024-06-30,2024-08-07,1887436000,49373073,38.228
2024-09-30,2024-11-07,1874630000,49694484,37.7231
2024-12-31,2025-02-27,1856048000,49192838,37.73
2025-03-31,2025-05-08,1868849000,49194458,37.989
2025-06-30,2025-08-06,1899779000,49338204,38.5052
2025-09-30,2025-11-06,1933787000,49366276,39.1722
2025-12-31,2026-02-26,2020277000,49394531,40.9008
2026-03-31,2026-05-07,2194275000,49427543,44.3938
