period_end,filed,equity,shares,bvps
2013-09-30,2014-12-03,228565251,48365012,4.7258
2014-03-31,2014-07-30,692199432,48365012,14.312
2014-06-30,2015-08-05,849561826,48365012,17.5656
2014-09-30,2014-12-03,854088775,48365012,17.6592
2014-12-31,2016-01-29,863843650,48365012,17.8609
2015-03-31,2015-06-04,873214259,48365012,18.0547
2015-06-30,2015-08-05,887763681,58057493,15.2911
2015-09-30,2015-10-30,925526832,58057493,15.9416
2015-12-31,2016-01-29,975355236,57579293,16.9393
2016-03-31,2016-05-31,985599237,57225162,17.2232
2016-06-30,2016-07-28,973875769,55627128,17.5072
2016-09-30,2016-10-28,966798705,54963013,17.59
2016-12-31,2017-01-30,972899477,54957273,17.7028
2017-03-31,2017-06-14,976001718,54967332,17.756
2017-06-30,2017-07-31,969751063,54974526,17.64
2017-09-30,2017-11-09,959011498,55105318,17.4032
2017-12-31,2018-02-08,961959344,55115380,17.4536
2018-03-31,2018-06-28,959413362,55106852,17.4101
2018-06-30,2018-08-09,939316324,55228723,17.0078
2018-09-30,2018-10-31,932464065,55157193,16.9056
2018-12-31,2019-02-04,927475738,55166775,16.8122
2019-03-31,2019-05-30,912682558,55177191,16.5409
2019-06-30,2019-08-07,919079862,55167708,16.6597
2019-09-30,2019-10-31,954371944,55063602,17.3322
2019-12-31,2020-02-05,982024776,54596027,17.9871
2020-03-31,2020-06-12,977052198,53837172,18.1483
2020-06-30,2020-08-04,989952891,50827952,19.4765
2020-09-30,2020-11-02,989591174,51030487,19.3922
2020-12-31,2021-02-02,1015772859,50881889,19.9633
2021-03-31,2021-06-02,946825330,49886990,18.9794
2021-06-30,2021-08-04,938548374,41086069,22.8435
2021-09-30,2021-11-03,906949290,40278380,22.517
2021-12-31,2022-02-03,924191063,40140366,23.024
2022-03-31,2022-06-02,920151415,40138956,22.9241
2022-06-30,2022-08-03,844349335,40135042,21.0377
2022-09-30,2022-11-02,825369460,40136600,20.564
2022-12-31,2023-02-01,837327280,40350535,20.7513
2023-03-31,2023-06-02,873846322,40350535,21.6564
2023-06-30,2023-08-02,885608709,40382730,21.9304
2023-09-30,2023-11-02,923309215,40392282,22.8586
2023-12-31,2024-02-01,984058316,40607892,24.2332
2024-03-31,2024-05-29,1023533083,40593079,25.2145
2024-06-30,2024-08-01,1119864935,40619448,27.5697
2024-09-30,2024-10-31,1088249775,42619448,25.5341
2024-12-31,2025-01-31,1068508848,42804479,24.9625
2025-03-31,2025-05-29,1046106185,42804479,24.4392
2025-06-30,2025-08-04,1034799525,42647720,24.2639
2025-09-30,2025-11-06,1066532601,42647720,25.008
2025-12-31,2026-02-05,1085629438,42838114,25.3426
2026-03-31,2026-05-27,1138996378,42744103,26.6469
