period_end,filed,equity,shares,bvps
2010-12-31,2014-03-17,346915916,55326765,6.2703
2011-12-31,2014-03-17,372028191,55326765,6.7242
2012-12-31,2014-03-17,447823490,55326765,8.0942
2013-12-31,2014-03-17,720652007,55326765,13.0254
2014-03-31,2014-05-06,737357255,55326765,13.3273
2014-06-30,2014-08-06,757426139,55326765,13.69
2014-09-30,2014-11-03,781289221,55326765,14.1214
2014-12-31,2015-03-17,805730302,55346613,14.5579
2015-06-30,2015-08-03,854935000,55346613,15.4469
2015-12-31,2016-03-03,910091000,55363467,16.4385
2016-06-30,2016-08-08,941400000,55363467,17.004
2016-12-31,2017-03-01,956480000,55436087,17.2537
2017-06-30,2017-08-07,962411000,55436087,17.3607
2017-12-31,2018-03-05,963213000,55529762,17.3459
2018-03-31,2019-11-13,960889000,55529762,17.304
2018-06-30,2018-08-06,957698000,55529762,17.2466
2018-12-31,2019-04-01,955110000,55657631,17.1605
2019-03-31,2019-11-13,952015000,55657631,17.1048
2019-06-30,2019-11-13,944701000,55657631,16.9734
2019-12-31,2020-05-11,939803000,55826644,16.8343
2020-06-30,2020-10-21,934946000,55826644,16.7473
2020-12-31,2021-05-17,940540000,55893618,16.8273
2021-06-30,2021-11-30,944230000,55893618,16.8933
2021-12-31,2022-04-28,1113851000,77180429,14.4318
2022-06-30,2022-08-18,1155153000,77180429,14.9669
2022-12-31,2023-04-04,1162494000,76804474,15.1358
2023-06-30,2023-08-16,1163918000,76804474,15.1543
2023-12-31,2024-03-27,1190274000,73208586,16.2587
2024-06-30,2024-08-14,1175328000,73208586,16.0545
2024-12-31,2025-03-25,1205469000,69397648,17.3705
2025-06-30,2025-08-12,1213635000,69397648,17.4881
2025-12-31,2026-03-12,1226840000,65250444,18.802
