period_end,filed,equity,shares,bvps
2008-12-31,2012-04-04,560140000,80358360,6.9705
2009-12-31,2012-04-04,499257000,80358360,6.2129
2010-12-31,2012-04-04,488252000,80358360,6.0759
2011-06-30,2012-09-28,485904000,80358360,6.0467
2011-12-31,2012-04-04,434213000,80358360,5.4035
2012-06-30,2012-09-28,427878000,81012403,5.2816
2012-12-31,2013-03-20,116746000,5400810,21.6164
2013-06-30,2013-09-13,119310000,5412810,22.0422
2013-12-31,2014-03-21,266106000,29059671,9.1572
2014-06-30,2014-09-08,264467000,29493769,8.9669
2014-12-31,2015-04-08,1154302000,109426236,10.5487
2015-06-30,2015-09-24,1485027000,218934541,6.783
2015-12-31,2016-03-22,1135358000,219105712,5.1818
2016-06-30,2016-09-14,1055684000,43955659,24.017
2016-12-31,2017-03-22,1037230000,56628907,18.3163
2017-06-30,2017-09-26,1068350000,63415479,16.8468
2017-12-31,2018-03-22,1088052000,64160004,16.9584
2018-06-30,2018-09-19,1154540000,67464739,17.1132
2018-12-31,2019-03-21,1520045000,92285986,16.471
2019-06-30,2019-10-07,1475890000,92285986,15.9926
2019-12-31,2020-03-27,1544040000,96066226,16.0727
2020-06-30,2020-09-30,1493803000,96066226,15.5497
2020-12-31,2021-04-01,1549527000,97146687,15.9504
2021-06-30,2021-08-06,1756821000,97146687,18.0842
2021-12-31,2022-03-15,2080018000,102294758,20.3336
2022-06-30,2022-08-05,2105006000,102294758,20.5778
2022-12-31,2023-03-07,2019342000,102857416,19.6324
2023-06-30,2023-08-03,1993679000,102857416,19.3829
2023-12-31,2024-03-13,1660070000,84016892,19.7588
2024-06-30,2024-08-08,2457903000,84016892,29.2549
2024-12-31,2025-03-19,2481775000,117630112,21.0981
2025-06-30,2025-08-07,2402221000,117630112,20.4218
2025-12-31,2026-03-19,2449263000,113424507,21.5938
