period_end,filed,equity,shares,bvps
2010-12-31,2014-04-30,442689000,61876744,7.1544
2011-12-31,2014-04-30,489371000,61876744,7.9088
2012-12-31,2014-04-30,302183000,83591030,3.615
2013-06-30,2014-04-30,289675000,83591030,3.4654
2013-12-31,2014-04-30,284672000,83591030,3.4055
2014-06-30,2014-11-20,312691000,83591030,3.7407
2014-12-31,2015-04-28,455723000,83591030,5.4518
2015-06-30,2015-09-17,582822000,83591030,6.9723
2015-12-31,2016-04-27,877461000,83591030,10.4971
2016-06-30,2016-08-25,925317000,83591030,11.0696
2016-09-30,2016-11-28,910674000,83591030,10.8944
2016-12-31,2017-04-26,920624000,83591030,11.0134
2017-06-30,2017-09-12,889969000,83591030,10.6467
2017-09-30,2017-12-07,862428000,83591030,10.3172
2017-12-31,2018-04-24,1006601000,83591030,12.042
2018-03-31,2019-08-15,979735000,83591030,11.7206
2018-06-30,2018-10-10,952470000,83591030,11.3944
2018-09-30,2018-11-30,935211000,83591030,11.1879
2018-12-31,2019-04-10,946933000,83591030,11.3282
2019-03-31,2019-08-15,960048000,83591030,11.4851
2019-06-30,2019-08-15,945895000,83591030,11.3157
2019-09-30,2019-11-22,926287000,83591030,11.0812
2019-12-31,2020-04-15,989920000,83591030,11.8424
2020-03-31,2020-09-01,1097227000,83591030,13.1261
2020-06-30,2020-09-01,1195799000,83591030,14.3054
2020-09-30,2020-11-24,1151789000,83591030,13.7789
2020-12-31,2021-04-01,1078902000,83591030,12.9069
2021-03-31,2021-08-13,1057878000,83591030,12.6554
2021-06-30,2021-08-13,929433000,83591030,11.1188
2021-09-30,2021-11-10,877771000,83591030,10.5008
2021-12-31,2022-04-06,838412000,83591030,10.0299
2022-12-31,2023-03-31,1070006000,83591030,12.8005
2023-12-31,2024-03-15,1525785000,83591030,18.253
2024-12-31,2025-03-14,1756550000,83591030,21.0136
2025-12-31,2026-03-13,2043616000,83591030,24.4478
