date,BCTI,BDTI,BLPG,BDI,FBX,capesize_index,source_sender
2023-02-27,,,,,,5815,Chris.Palun
2023-03-06,,,,,,11026,Chris.Palun
2023-03-07,,,,,,12201,Chris.Palun
2023-03-08,,,,,,12851,Chris.Palun
2023-03-16,,,,,,16387,Chris.Palun
2023-03-17,,,,,,15867,Chris.Palun
2023-03-21,,,,,,15601,Chris.Palun
2023-03-22,,,,,,14528,Chris.Palun
2023-04-11,,,,,,15849,Chris.Palun
2023-04-14,,,,,,15344,Chris.Palun
2023-05-15,,,,,,19777,Chris.Palun
2023-05-16,,,,,,19033,Chris.Palun
2023-05-25,,,,,,14577,Chris.Palun
2023-06-02,,,,,,9254,Chris.Palun
2023-06-05,,,,,,9766,Chris.Palun
2023-06-08,,,,,,12112,Chris.Palun
2023-06-09,,,,,,12560,Chris.Palun
2023-06-12,,,,,,12702,Chris.Palun
2023-06-15,584,1148,9257,,1328,,Chris.Palun
2023-06-20,,,,,,12769,Chris.Palun
2023-06-22,,,,,,16514,Chris.Palun
2023-06-29,,,,,,14589,Chris.Palun
2023-07-20,602,947,10298,,1317,,Chris.Palun
2023-07-21,610,940,10308,,1317,,Chris.Palun
2023-07-24,626,929,10144,,1334,,Chris.Palun
2023-07-25,633,910,10036,,1333,,Chris.Palun
2023-07-26,655,899,9918,,1320,,Chris.Palun
2023-07-27,671,881,9748,,1315,,Chris.Palun
2023-07-28,697,873,9686,,1314,,Chris.Palun
2023-07-31,704,851,9587,,1314,,Chris.Palun
2023-08-01,713,840,9501,,1470,,Chris.Palun
2023-08-02,720,821,9453,,1460,,Chris.Palun
2023-08-03,716,810,9530,,1480,,Chris.Palun
2023-08-04,706,800,9441,,1485,,Chris.Palun
2023-08-07,689,798,9431,,1540,,Chris.Palun
2023-08-08,686,800,9419,,1539,,Chris.Palun
2023-08-09,685,799,946,,1544,,Chris.Palun
2023-08-10,679,799,9250,,1531,13883,Chris.Palun
2023-08-11,670,802,9231,,1512,,Chris.Palun
2023-08-14,670,801,9208,,1528,,Chris.Palun
2023-08-15,694,798,9251,,1461,,Chris.Palun
2023-08-16,713,806,9352,,1465,,Chris.Palun
2023-08-17,750,809,9377,,1527,,Chris.Palun
2023-08-18,772,803,9384,,1522,,Chris.Palun
2023-08-21,779,802,9315,,1535,,Chris.Palun
2023-08-22,790,804,9268,,1530,,Chris.Palun
2023-08-23,794,802,9276,,1523,,Chris.Palun
2023-08-24,801,797,9364,,1524,,Chris.Palun
2023-08-25,807,793,9427,,1537,,Chris.Palun
2023-08-29,843,776,9665,,1516,,Chris.Palun
2023-08-30,848,764,9874,,1541,,Chris.Palun
2023-08-31,847,752,10836,,1538,,Chris.Palun
2023-09-01,837,740,11488,,1525,,Chris.Palun
2023-09-04,803,732,12234,,1480,,Chris.Palun
2023-09-05,783,728,12444,,1455,8266,Chris.Palun
2023-09-06,758,725,13315,,1456,8573,Chris.Palun
2023-09-07,760,715,13523,,1456,9863,Chris.Palun
2023-09-08,764,713,13705,,1428,10693,Chris.Palun
2023-09-11,763,714,13910,,1410,10982,Chris.Palun
2023-09-12,788,716,14063,,1411,11027,Chris.Palun
2023-09-13,805,722,14116,,1396,11743,Chris.Palun
2023-09-14,852,733,14121,,1399,12537,Chris.Palun
2023-09-15,849,740,14059,,1332,13284,Chris.Palun
2023-09-18,849,742,14177,,1269,14503,Chris.Palun
2023-09-19,847,749,14402,,1242,16103,Chris.Palun
2023-09-20,857,768,15245,,1239,17145,Chris.Palun
2023-09-21,869,776,16427,,1256,16646,Chris.Palun
2023-09-22,868,790,16590,,1249,17274,Chris.Palun
2023-09-25,859,799,16983,,1171,17810,Chris.Palun
2023-09-26,834,810,16660,,1179,19855,Chris.Palun
2023-09-27,,,,,,21364,Chris.Palun
2023-09-28,812,821,15021,,1183,20675,Chris.Palun
2023-09-29,813,827,14659,,1172,20520,Chris.Palun
2023-10-02,811,839,12703,,1097,21645,Chris.Palun
2023-10-03,808,842,11323,,1094,22996,Chris.Palun
2023-10-04,796,846,11286,,1091,23226,Chris.Palun
2023-10-05,775,854,12063,,1086,24727,Chris.Palun
2023-10-06,750,871,12920,,1076,27445,Chris.Palun
2023-10-09,735,881,13495,,1077,28901,Chris.Palun
2023-10-10,737,911,13440,,1076,28373,Chris.Palun
2023-10-11,832,955,13199,,1076,27402,Chris.Palun
2023-10-12,803,1054,12345,,1070,27185,Chris.Palun
2023-10-13,748,1149,11869,,1068,,Chris.Palun
2023-10-16,748,1221,11377,,1047,28348,Chris.Palun
2023-10-17,755,1244,9512,,1018,30348,Chris.Palun
2023-10-18,756,1272,9652,,1037,31089,Chris.Palun
2023-10-19,763,1274,10444,,1040,30130,Chris.Palun
2023-10-20,774,1286,10519,,1098,29493,Chris.Palun
2023-10-23,779,1316,10516,,1085,28805,Chris.Palun
2023-10-24,786,1331,11015,,1092,27169,Chris.Palun
2023-10-25,789,1348,11609,,1102,24386,Chris.Palun
2023-10-26,794,1372,12080,,1101,20446,Chris.Palun
2023-10-27,801,1414,12226,,1095,18461,Chris.Palun
2023-10-30,793,1453,12328,,1104,17344,Chris.Palun
