report_date,ticker,display_name,currency,price,pnav,fwd_pe
2024-08-22,AWILCO,Awilco LNG,kr,7.9,0.75,14.2
2024-08-22,BWLP,BW LPG,kr,162.5,1.02,7.2
2024-08-22,DHT,DHT Holdings,$,11.1,0.93,5.0
2024-08-22,DIS,d'Amico International,€,6.3,0.64,7.5
2024-08-22,ECO,Okeanis Eco Tankers,kr,318.0,1.08,4.4
2024-08-22,FLNG,Flex LNG,kr,283.0,0.86,11.2
2024-08-22,FRO,Frontline,$,24.5,1.21,5.4
2024-08-22,GLNG,Golar LNG,$,32.9,0.99,16.0
2024-08-22,HAFN,Hafnia Ltd.,kr,80.6,0.9,5.2
2024-08-22,HSHP,Himalaya Shipping,$,7.4,0.75,4.4
2024-08-22,INSW,International Seaways,$,50.2,0.68,5.0
2024-08-22,LPG,Dorian LPG,$,37.2,0.99,6.9
2024-08-22,ODFB,Odfjell SE,kr,156.4,0.69,3.7
2024-08-22,SBLK,Star Bulk Carriers,$,21.4,0.68,5.9
2024-08-22,SNI,Stolt-Nielsen,kr,410.0,0.72,4.7
2024-08-22,STNG,Scorpio Tankers,$,70.8,0.73,5.7
2024-08-22,TNK,Teekay Tankers,$,55.4,0.71,3.9
2024-08-22,TRMD,TORM,kr,256.0,1.07,5.7
2024-08-23,AWILCO,Awilco LNG,kr,7.5,0.71,13.4
2024-08-23,BWLP,BW LPG,kr,163.3,1.01,6.8
2024-08-23,DHT,DHT Holdings,$,10.8,0.91,4.9
2024-08-23,DIS,d'Amico International,€,6.2,0.64,7.4
2024-08-23,ECO,Okeanis Eco Tankers,kr,320.0,1.08,4.4
2024-08-23,FLNG,Flex LNG,kr,283.0,0.85,11.1
2024-08-23,FRO,Frontline,$,23.9,1.2,6.0
2024-08-23,GLNG,Golar LNG,$,32.3,0.97,15.8
2024-08-23,HAFN,Hafnia Ltd.,kr,80.7,0.89,5.2
2024-08-23,HSHP,Himalaya Shipping,$,7.5,0.76,4.4
2024-08-23,INSW,International Seaways,$,50.0,0.68,4.9
2024-08-23,LPG,Dorian LPG,$,37.0,0.99,6.9
2024-08-23,ODFB,Odfjell SE,kr,153.6,0.68,3.6
2024-08-23,SBLK,Star Bulk Carriers,$,21.2,0.68,5.8
2024-08-23,SNI,Stolt-Nielsen,kr,411.0,0.72,4.7
2024-08-23,STNG,Scorpio Tankers,$,70.5,0.73,5.7
2024-08-23,TNK,Teekay Tankers,$,54.8,0.7,3.8
2024-08-23,TRMD,TORM,kr,254.0,1.06,5.6
2024-08-26,AWILCO,Awilco LNG,kr,7.8,0.74,14.0
2024-08-26,BWLP,BW LPG,kr,174.0,1.09,7.1
2024-08-26,DHT,DHT Holdings,$,10.7,0.89,4.8
2024-08-26,DIS,d'Amico International,€,6.3,0.64,7.2
2024-08-26,ECO,Okeanis Eco Tankers,kr,319.0,1.08,4.4
2024-08-26,FLNG,Flex LNG,kr,285.0,0.86,11.3
2024-08-26,FRO,Frontline,$,24.0,1.21,6.0
2024-08-26,GLNG,Golar LNG,$,32.8,0.99,16.1
2024-08-26,HAFN,Hafnia Ltd.,kr,83.2,0.9,5.4
2024-08-26,HSHP,Himalaya Shipping,$,7.6,0.76,4.5
2024-08-26,INSW,International Seaways,$,50.9,0.69,5.0
2024-08-26,LPG,Dorian LPG,$,38.3,1.02,6.8
2024-08-26,ODFB,Odfjell SE,kr,156.0,0.69,3.7
2024-08-26,SBLK,Star Bulk Carriers,$,21.2,0.67,5.8
2024-08-26,SNI,Stolt-Nielsen,kr,413.0,0.73,4.7
2024-08-26,STNG,Scorpio Tankers,$,70.5,0.71,5.7
2024-08-26,TNK,Teekay Tankers,$,55.7,0.71,3.9
2024-08-26,TRMD,TORM,kr,255.0,1.07,5.7
2024-08-27,AWILCO,Awilco LNG,kr,7.7,0.73,13.8
2024-08-27,BWLP,BW LPG,kr,169.5,1.06,6.9
2024-08-27,DHT,DHT Holdings,$,10.8,0.9,4.9
2024-08-27,DIS,d'Amico International,€,6.3,0.63,7.3
2024-08-27,ECO,Okeanis Eco Tankers,kr,327.0,1.11,4.5
2024-08-27,FLNG,Flex LNG,kr,290.0,0.88,11.4
2024-08-27,FRO,Frontline,$,24.2,1.2,5.9
2024-08-27,GLNG,Golar LNG,$,33.0,0.99,16.1
2024-08-27,HAFN,Hafnia Ltd.,kr,84.6,0.91,5.4
2024-08-27,HSHP,Himalaya Shipping,$,7.7,0.77,4.7
2024-08-27,INSW,International Seaways,$,51.1,0.7,5.1
